Temperatura_Media	Ano	Mes
23.88	1982	5
23.7815	1982	6
23.5838	1982	7
24.276	1982	8
24.9492	1982	9
25.5799	1982	10
25.9423	1982	11
25.3724	1982	12
25.9043	1983	1
26.1714	1983	2
25.7464	1983	3
25.8077	1983	4
25.2762	1983	5
23.6784	1983	6
23.7056	1983	7
23.8282	1983	8
24.8751	1983	9
25.124	1983	10
25.4084	1983	11
25.2784	1983	12
25.6232	1984	1
25.9011	1984	2
25.4987	1984	3
24.586	1984	4
24.6309	1984	5
23.3814	1984	6
23.4723	1984	7
23.5379	1984	8
24.535	1984	9
25.8769	1984	10
25.685	1984	11
25.5822	1984	12
25.4023	1985	1
25.5248	1985	2
25.5626	1985	3
25.1162	1985	4
24.3636	1985	5
22.7636	1985	6
23.0063	1985	7
23.9407	1985	8
25.0195	1985	9
25.7245	1985	10
25.7146	1985	11
25.7328	1985	12
25.4817	1986	1
25.5837	1986	2
25.3466	1986	3
25.3847	1986	4
24.8179	1986	5
23.349	1986	6
23.0883	1986	7
24.4758	1986	8
24.7359	1986	9
25.377	1986	10
25.9191	1986	11
25.6664	1986	12
25.9384	1987	1
25.8514	1987	2
25.4643	1987	3
25.6956	1987	4
24.3651	1987	5
23.5641	1987	6
24.6679	1987	7
24.3102	1987	8
25.3741	1987	9
26.5738	1987	10
26.2792	1987	11
26.3691	1987	12
26.2763	1988	1
25.9589	1988	2
26.2304	1988	3
25.3254	1988	4
24.3856	1988	5
23.0255	1988	6
22.715	1988	7
24.547	1988	8
25.6688	1988	9
25.9219	1988	10
25.7188	1988	11
25.6654	1988	12
25.2854	1989	1
25.5579	1989	2
25.3136	1989	3
25.1852	1989	4
23.816	1989	5
23.4637	1989	6
22.5562	1989	7
24.2707	1989	8
24.9188	1989	9
25.3787	1989	10
25.8998	1989	11
25.5036	1989	12
25.8838	1990	1
25.7143	1990	2
26.0438	1990	3
25.8643	1990	4
24.2709	1990	5
23.523	1990	6
22.7812	1990	7
24.2986	1990	8
24.6622	1990	9
26.3002	1990	10
26.394	1990	11
25.901	1990	12
25.643	1991	1
25.9575	1991	2
25.6557	1991	3
25.3129	1991	4
24.791	1991	5
23.9843	1991	6
23.2685	1991	7
23.9083	1991	8
25.1664	1991	9
25.5752	1991	10
25.9412	1991	11
25.9974	1991	12
25.7081	1992	1
25.8255	1992	2
25.4243	1992	3
25.178	1992	4
25.1189	1992	5
24.2869	1992	6
22.8491	1992	7
23.8493	1992	8
24.4257	1992	9
25.5879	1992	10
25.3478	1992	11
25.3391	1992	12
25.7163	1993	1
25.3563	1993	2
25.6753	1993	3
25.5508	1993	4
24.3781	1993	5
23.6627	1993	6
23.3993	1993	7
23.9156	1993	8
25.0619	1993	9
25.9872	1993	10
25.8444	1993	11
25.7498	1993	12
25.5448	1994	1
25.7423	1994	2
25.4517	1994	3
25.2104	1994	4
24.923	1994	5
23.5394	1994	6
23.2876	1994	7
24.2654	1994	8
25.5113	1994	9
26.1809	1994	10
26.0029	1994	11
25.9198	1994	12
26.1481	1995	1
26.0212	1995	2
26.0192	1995	3
25.12	1995	4
24.2829	1995	5
23.7991	1995	6
24.2484	1995	7
25.1264	1995	8
25.7505	1995	9
26.1695	1995	10
25.8871	1995	11
25.8754	1995	12
26.0441	1996	1
26.1958	1996	2
25.5572	1996	3
25.1492	1996	4
24.4024	1996	5
22.9714	1996	6
23.4198	1996	7
24.4626	1996	8
25.1977	1996	9
25.9504	1996	10
25.7197	1996	11
26.2828	1996	12
25.7316	1997	1
25.8774	1997	2
25.2616	1997	3
25.197	1997	4
24.3401	1997	5
23.7487	1997	6
24.3372	1997	7
24.8116	1997	8
25.6764	1997	9
26.9505	1997	10
26.7617	1997	11
26.4589	1997	12
26.7072	1998	1
26.8819	1998	2
26.4072	1998	3
26.2811	1998	4
24.7912	1998	5
23.8738	1998	6
24.4916	1998	7
25.4066	1998	8
25.7172	1998	9
26.3697	1998	10
26.0175	1998	11
26.2946	1998	12
26.1067	1999	1
26.0443	1999	2
25.8348	1999	3
25.1187	1999	4
23.9345	1999	5
23.7212	1999	6
23.7914	1999	7
24.4096	1999	8
25.5916	1999	9
26.015	1999	10
25.8869	1999	11
26.1328	1999	12
25.9065	2000	1
25.7341	2000	2
25.5243	2000	3
25.2622	2000	4
24.6355	2000	5
24.0547	2000	6
22.9562	2000	7
24.7715	2000	8
25.1845	2000	9
26.5363	2000	10
25.8937	2000	11
25.9276	2000	12
25.8022	2001	1
26.1029	2001	2
26.0353	2001	3
25.8097	2001	4
24.771	2001	5
23.245	2001	6
24.2418	2001	7
25.1831	2001	8
25.6916	2001	9
26.3197	2001	10
26.4455	2001	11
26.039	2001	12
25.9703	2002	1
26.0612	2002	2
26.2802	2002	3
25.9732	2002	4
25.1945	2002	5
24.0269	2002	6
24.3371	2002	7
25.3269	2002	8
25.689	2002	9
26.9941	2002	10
26.4679	2002	11
26.3824	2002	12
26.3988	2003	1
26.4573	2003	2
26.0458	2003	3
25.709	2003	4
24.7453	2003	5
24.5994	2003	6
23.9775	2003	7
24.2107	2003	8
25.5222	2003	9
26.2036	2003	10
26.2583	2003	11
26.5912	2003	12
26.1081	2004	1
25.7854	2004	2
25.9067	2004	3
26.0214	2004	4
24.3635	2004	5
23.8823	2004	6
23.6613	2004	7
24.5159	2004	8
26.1668	2004	9
26.3803	2004	10
26.4008	2004	11
26.2449	2004	12
26.665	2005	1
26.4822	2005	2
26.1665	2005	3
25.9846	2005	4
25.1517	2005	5
24.5166	2005	6
23.9213	2005	7
25.4403	2005	8
25.2846	2005	9
26.8205	2005	10
26.7675	2005	11
25.9458	2005	12
26.5366	2006	1
26.275	2006	2
26.1044	2006	3
25.3955	2006	4
24.0456	2006	5
23.8359	2006	6
24.3867	2006	7
25.2383	2006	8
25.6825	2006	9
26.577	2006	10
26.0827	2006	11
26.471	2006	12
26.4631	2007	1
26.29	2007	2
26.1623	2007	3
25.9278	2007	4
24.7602	2007	5
24.2219	2007	6
23.949	2007	7
24.3313	2007	8
26.2888	2007	9
26.8244	2007	10
26.2846	2007	11
26.1926	2007	12
25.541	2008	1
25.7479	2008	2
25.6103	2008	3
25.177	2008	4
24.0721	2008	5
23.3609	2008	6
24.2316	2008	7
25.2559	2008	8
25.5867	2008	9
26.843	2008	10
26.1698	2008	11
26.0047	2008	12
25.786	2009	1
25.7919	2009	2
26.0315	2009	3
25.4516	2009	4
24.7343	2009	5
23.4664	2009	6
24.185	2009	7
25.1073	2009	8
26.3294	2009	9
26.5985	2009	10
27.164	2009	11
26.1718	2009	12
26.5247	2010	1
27.1162	2010	2
26.8646	2010	3
25.8815	2010	4
25.0834	2010	5
23.8137	2010	6
24.1657	2010	7
24.768	2010	8
26.6081	2010	9
26.642	2010	10
26.1814	2010	11
26.2464	2010	12
25.9	2011	1
25.9348	2011	2
25.6607	2011	3
25.6547	2011	4
24.772	2011	5
24.1581	2011	6
24.358	2011	7
25.2135	2011	8
26.2502	2011	9
26.2576	2011	10
26.0925	2011	11
26.1414	2011	12
25.6388	2012	1
25.8926	2012	2
25.8586	2012	3
25.9351	2012	4
24.9448	2012	5
24.4159	2012	6
24.159	2012	7
25.013	2012	8
26.4278	2012	9
27.1908	2012	10
26.6045	2012	11
26.5033	2012	12
26.2797	2013	1
26.421	2013	2
26.4633	2013	3
25.7173	2013	4
25.0598	2013	5
24.7923	2013	6
24.2248	2013	7
24.5482	2013	8
26.1844	2013	9
26.541	2013	10
26.1609	2013	11
26.3776	2013	12
26.351	2014	1
26.1318	2014	2
25.9359	2014	3
25.9241	2014	4
25.013	2014	5
24.5104	2014	6
24.0321	2014	7
25.2679	2014	8
26.8389	2014	9
26.9653	2014	10
26.6748	2014	11
26.3578	2014	12
26.6425	2015	1
26.3971	2015	2
26.027	2015	3
25.9741	2015	4
25.2458	2015	5
24.6914	2015	6
24.7691	2015	7
25.7966	2015	8
27.3316	2015	9
27.21	2015	10
27.3725	2015	11
27.1024	2015	12

